"id","city","longitude","latitude"
"1107035","Bharapur","69.63333300","23.13333300"
"1107038","Bharat","72.23333300","24.33333300"
"1107048","Bharbhut","72.88333300","21.68333300"
"1107049","Bharduva","71.35000000","24.23333300"
"1107056","Bhariad","72.16666700","22.28333300"
"1107068","Bharnagar","72.15000000","21.76666700"
"1107071","Bharoch","72.96666700","21.70000000"
"1107083","Bharuch","72.96666700","21.70000000"
"1107105","Bhat","73.61666700","22.41666700"
"1107113","Bhatha","72.76666700","21.18333300"
"1107119","Bhatiya","69.28194400","22.09944400"
"1107151","Bhaunagar","72.15000000","21.76666700"
"1107165","Bhauwar","69.77361100","21.92638900"
"1107169","Bhavda","69.08472200","22.24416700"
"1107171","Bhavnagar","72.15000000","21.76666700"
"1107190","Bhaya nadar","70.25000000","21.85000000"
"1107189","Bhayala","72.31666700","22.76666700"
"1107193","Bhayaradar","70.25000000","21.85000000"
"1107194","Bhayavadar","70.25000000","21.85000000"
"1107195","Bhayawadar","70.25000000","21.85000000"
"1107199","Bhdrala","70.46666700","20.98333300"
"1107219","Bherai","71.48333300","20.95000000"
"1107220","Bherala","70.46666700","20.98333300"
"1107222","Bherandiala","69.66666700","23.66666700"
"1107226","Bhesan","70.70000000","21.55000000"
"1107248","Bhilari","72.03333300","24.18333300"
"1107251","Bhildi","72.03333300","24.18333300"
"1107252","Bhilka","70.60000000","21.43333300"
"1107253","Bhiloda","73.25000000","23.76666700"
"1107255","Bhilpur","73.96666700","22.45000000"
"1107264","Bhimasar","70.86666700","23.53333300"
"1107266","Bhimasir","70.86666700","23.53333300"
"1107272","Bhimkata","70.46666700","22.80000000"
"1107273","Bhimkatta","70.46666700","22.80000000"
"1107277","Bhimnath","71.91666700","22.25000000"
"1107278","Bhimora","71.23333300","22.33333300"
"1107282","Bhimpur","72.73333300","21.08333300"
"1107286","Bhimrad","71.58333300","22.08333300"
"1107293","Bhinar","73.33333300","20.81666700"
"1107315","Bhit","68.65000000","23.25000000"
"1107329","Bhogat","69.23944400","21.99027800"
"1107336","Bhoika","71.88333300","22.50000000"
"1107340","Bhojavadar","71.71666700","21.85000000"
"1107360","Bholawat","70.45000000","21.00000000"
"1107362","Bholowat","70.45000000","21.00000000"
"1107378","Bhooj","69.66666700","23.26666700"
"1107389","Bhorol","71.55000000","24.53333300"
"1107415","Bhuj","69.66666700","23.26666700"
"1107416","Bhujpur","69.63333300","22.86666700"
"1107433","Bhunagar","72.15000000","21.76666700"
"1107504","Bidada","69.46666700","22.90000000"
"1107620","Bildi","70.95000000","21.86666700"
"1107637","Bilimor","72.95000000","20.75000000"
"1107636","Bilimora","72.95000000","20.75000000"
"1107638","Bilkha","70.60000000","21.43333300"
"1107644","Bilodra","72.65000000","23.51666700"
"1107912","Bokri","70.56666700","22.91666700"
"1108013","Bordi","72.71666700","20.15000000"
"1108017","Borgam","73.68333300","21.25000000"
"1108027","Boria","71.71666700","22.56666700"
"1108051","Borki","70.56666700","22.91666700"
"1108063","Borsad","72.90000000","22.41666700"
"1108075","Botad","71.66666700","22.16666700"
"1108117","Brancavara","70.86666700","20.70000000"
"1108128","Broach","72.96666700","21.70000000"
"1108147","Buchow","70.35000000","23.28333300"
"1108203","Buhari","73.30000000","20.96666700"
"1108228","Bulsar","72.93333300","20.63333300"
"1108267","Bunxivara","70.90000000","20.71666700"
"1108275","Burcala","71.88333300","22.15000000"
"1108338","Buxivará","70.90000000","20.71666700"
"1106375","Bávliáli","72.11666700","22.08333300"
"1108367","Cambay","72.61666700","22.30000000"
"1108374","Canari","72.93333300","20.23333300"
